stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Meri,,node/7037183516,9.0207092,38.8603565,0
Meri (Yetebaberut),,node/7037183518,9.0205124,38.8610727,0
Ayat,,node/7037183519,9.0208331,38.8686047,0
Ayat Zone 2,,node/7037183520,9.0210633,38.8678248,0
Kara (Turn),,node/7037183521,9.0379427,38.8606002,0
Medhanalem Church,,node/7037183523,9.0401552,38.8640163,0
Safari,,node/7037183525,9.0106828,38.852259,0
Summit (MOHA),,node/7037183527,9.0043876,38.8520658,0
Saint Georgis,,node/7037183528,8.9955228,38.8513132,0
Tena Tabeya,,node/7037183529,8.9941038,38.860685,0
Gate 2,,node/7037183532,8.9894728,38.8582866,0
Summit Condominiums,,node/7037183533,8.9846055,38.8544474,0
Ayat Train Station,,node/7037183535,9.0213287,38.8719812,0
CMC,,node/7037183536,9.0211208,38.872594,0
Ayat Square,,node/7037183537,9.0212396,38.8767684,0
Feres Bet,,node/7037183538,9.0216916,38.8862575,0
Police Tabia,,node/7037183539,9.0170704,38.8946069,0
Tsebel,,node/7037183540,9.0222555,38.891209,0
Bono Meskid,,node/7037183541,9.0219034,38.8902931,0
Ayat Chefe Condominium,,node/7037183542,9.0113906,38.8946677,0
Ayat Chefe Condominium,,node/7037183543,9.0109368,38.8944878,0
Nebu Mikael,,node/7037183545,9.0023517,38.8767662,0
Bole Arabsa (3),,node/7037183547,8.9963324,38.8855436,0
Bole Arabsa (2),,node/7037183548,8.9841602,38.8851362,0
Bole Arabsa,,node/7037183550,8.9733148,38.8902717,0
Yeka Condominium 1,,node/7037183552,9.0354891,38.877919,0
Tafo Gebrael,,node/7037183554,9.0381306,38.8777819,0
Tafo Condominium 1,,node/7037183555,9.0505157,38.8779667,0
Tafo Mebrathail,,node/7037183557,9.0425957,38.8773973,0
Tafo Mebrathail,,node/7037183558,9.0427743,38.877866,0
Tafo Condominium 2,,node/7037183559,9.0465834,38.8779122,0
Kara Condominium,,node/7037183562,9.0501511,38.8705589,0
Yeka Abado,,node/7037183563,9.0666282,38.8647703,0
Sara Ampol (Gedera),,node/7037183565,9.0571811,38.8737753,0
Sara Ampol,,node/7037183567,9.0580264,38.8742538,0
Aba Kiros,,node/7037183569,9.0606875,38.8812971,0
Makefafeya,,node/7037183570,9.0630654,38.8841651,0
Gari Tera,,node/7037183571,9.0670494,38.8892044,0
CCD,,node/7037183572,9.0707009,38.8938058,0
140,,node/7037183573,9.0718221,38.8952147,0
Legedadi Mission,,node/7037183574,9.0818058,38.9074861,0
Legedadi Mission,,node/7037183575,9.0821737,38.90832,0
Selam Building,,node/7041052894,8.8832831,38.7771574,0
Gojo Hotel,,node/7041052895,8.8910809,38.7768265,0
Kality Meneharia,,node/7041052896,8.8958584,38.7717989,0
Cheralia Factory,,node/7041052897,8.9029458,38.7668359,0
Cheralia Factory,,node/7041052898,8.9029223,38.7667452,0
Kality Gebriel,,node/7041052900,8.9113422,38.7638335,0
Kality Prison,,node/7041052901,8.912466,38.7633399,0
Hana Maryam,,node/7041052912,8.928137,38.7416641,0
Tabelew,,node/7041052914,8.9274906,38.6590102,0
Alem Gena,,node/7041052916,8.9230001,38.6526472,0
Alem Gena,,node/7041052917,8.9229882,38.652656,0
Mekanisa (Old Revenues Office),,node/7041052927,8.9683942,38.73129,0
German Square,,node/7041052928,8.9656974,38.7327236,0
Gebriel Bridge,,node/7041052932,8.9556239,38.7324437,0
Gebriel Bridge,,node/7041052934,8.955596,38.7327233,0
Mebrathile (EEPCo),,node/7041052935,8.9469471,38.7339608,0
Mekanisa School,,node/7041052936,8.9790248,38.7341955,0
Abo,,node/7041052937,8.9785916,38.7339384,0
Sheged Hotel,,node/7041052938,8.973373,38.7246092,0
Jemo Michael,,node/7041052939,8.9673959,38.720836,0
Jemo Michael,,node/7041052940,8.966996,38.7209392,0
Jemo YBP (All Mart),,node/7041052942,8.9614893,38.7152564,0
Jemmo 1,,node/7041052944,8.9606358,38.7123763,0
Jemmo 1,,node/7041052945,8.9604074,38.7124284,0
Mestawet Fabrica,,node/7041052946,8.9595125,38.7084697,0
Mestawet Fabrica,,node/7041052948,8.958513,38.7059934,0
Jemo 3,,node/7041052949,8.9564,38.6992718,0
Jemmo 3,,node/7041052950,8.9556244,38.6985348,0
Zenebework,,node/7041052951,8.9866742,38.7077567,0
Welete Maryam,,node/7041052952,8.9611777,38.6713097,0
Mickael Bridge,,node/7041052953,8.9657858,38.7272059,0
Gerar,,node/7041052954,8.9813447,38.689429,0
Repi (Gerar),,node/7041052955,8.9794179,38.6851955,0
Gebre Kirstos,,node/7041052957,8.9773403,38.7220154,0
Bisrate Gebrael,,node/7041052958,8.9884304,38.7228933,0
Gofa Gebriel (2),,node/7041052959,8.9753751,38.7488548,0
Gofa Gebriel,,node/7041052960,8.9771139,38.7490217,0
MOHA (Pepsi Factory),,node/7041052965,8.9822682,38.7560783,0
Gotera (Oilibiya),,node/7041052969,8.9762662,38.7600125,0
Gotera (Oilibiya),,node/7041052970,8.976182,38.7598239,0
St. Joseph Church,,node/7041052975,8.9697308,38.7620577,0
kadisco Building,,node/7041052977,8.9659447,38.7627885,0
kadisco Building,,node/7041052978,8.965927,38.762999,0
Kadisco,,node/7041052979,8.9637596,38.7630788,0
Adey Abeba,,node/7041052980,8.9583017,38.7640609,0
Adey Abeba,,node/7041052982,8.9582595,38.7638459,0
Saris (CBE),,node/7041071286,8.9528662,38.7635583,0
Saris (CBE/Shoa Bakery),,node/7041071287,8.9527596,38.7633266,0
Abo Junction,,node/7041071289,8.9450003,38.7661044,0
Abo Junction,,node/7041071290,8.9450733,38.7663069,0
Customs (Train Station),,node/7041071291,8.9380959,38.763132,0
Kality Maseltegna,,node/7041071295,8.9323275,38.766627,0
Wehalemat,,node/7041071296,8.9298173,38.7681692,0
Bulgaria Mazoria,,node/7041071342,8.9950292,38.7478244,0
Begtera,,node/7041071344,8.9971703,38.7475059,0
AU (Mikael) Rounrdabout,,node/7041071347,8.9990638,38.7394459,0
AU (Mikael) Rounrdabout,,node/7041071348,8.9990569,38.7395945,0
Bulgaria,,node/7041071350,8.9937942,38.7478465,0
Global Hotel,,node/7041071352,8.9941475,38.7595772,0
Global Hotel,,node/7041071353,8.9941836,38.7598183,0
Tele Garage,,node/7041071355,9.000141,38.7584812,0
Riche,,node/7041071356,9.0043253,38.7586986,0
6th (Raddison Blu),,node/7041071359,9.0166957,38.7669535,0
Filweha (Hotsprings),,node/7041071360,9.017718,38.7572645,0
Filweha (Hotsprings),,node/7041071362,9.0175554,38.7570579,0
Ghion Hotel (Enterance),,node/7041071363,9.0137609,38.7574492,0
Ghion Hotel (Enterance),,node/7041071364,9.0138328,38.7576145,0
St. Joseph School,,node/7041071367,9.0098008,38.7591876,0
St. Joseph School,,node/7041071370,9.0104995,38.7592761,0
Admas University College,,node/7041071371,9.0105316,38.7590434,0
Lalibela Hotel,,node/7041071372,9.0118612,38.7570112,0
Stadium,,node/7041071374,9.0121294,38.7560438,0
Legehar,,node/7041071376,9.011849,38.7545386,0
Legehar,,node/7041071377,9.0117857,38.7539285,0
Legehar (Old Train Station),,node/7041071378,9.0109604,38.7533069,0
Mexico,,node/7041071380,9.0097755,38.7461963,0
African Union,,node/7041071382,9.0031416,38.7414166,0
Popolare,,node/7041071383,9.0053059,38.7423863,0
Guenet Hotel,,node/7041071384,9.0046908,38.7466748,0
Guenet Hotel,,node/7041071385,9.0032786,38.74694,0
Abenet,,node/7041071388,9.0214263,38.7334947,0
Lideta Condominium,,node/7041071389,9.0132791,38.7345522,0
Darmar,,node/7041071390,9.0157856,38.7348248,0
Coca Cola,,node/7041071391,9.0159169,38.7294714,0
Austria Embassy,,node/7041071392,8.9939406,38.7278809,0
Mechare Meda,,node/7041071393,8.9936591,38.727499,0
3 Kutir Mazoriya (Total),,node/7041071395,8.9925902,38.7152417,0
Minaye Building,,node/7041071397,8.995414,38.7184074,0
Old Airport (Mobil),,node/7041071399,8.9998642,38.7191221,0
Tor Hailoch,,node/7041071400,9.0099949,38.7206897,0
Keranio Mewcha,,node/7041071401,9.0133411,38.7100309,0
Holand,,node/7041071402,9.0213057,38.7159484,0
Meseret Edget,,node/7041071403,9.0245409,38.714954,0
Teklehaymanot,,node/7041071404,9.0278226,38.7440603,0
Kebele 11,,node/7041071405,9.0247481,38.7458014,0
Tewodros Square,,node/7041071406,9.0262634,38.75166,0
Tewodros Square,,node/7041071407,9.0263826,38.7517909,0
Black Lion,,node/7041071411,9.0218352,38.7521859,0
National Theatre,,node/7041071414,9.0158768,38.751592,0
